,distance_function,mask,prealign,preprocess,postprocess,postalign,cam,eer
491,skel,edge,id,id,skel,id,2,0.241
492,hd,edge,huang,hist,skel,CoM,2,0.241
493,hd,edge,id,hist,skel,id,2,0.241
494,miura,fing,id,hist,skel,CoM,2,0.241
495,miura,fing,trans,hist,skel,CoM,1,0.241
496,hd,edge,h + f,hist,id,miura,2,0.241
497,hd,fing,trans,hist,skel,CoM,2,0.242
498,miura,fing,h + f,hist,skel,CoM,2,0.242
499,miura,fing,huang,id,id,id,1,0.242
500,miura,edge,id,id,skel,id,2,0.242
501,miura,fing,huang,hist,skel,CoM,2,0.245
502,skel,fing,id,id,skel,id,1,0.246
503,hd,edge,huang,hist,id,miura,2,0.246
504,miura,edge,id,id,skel,id,1,0.247
505,rsd,fing,trans,id,id,id,1,0.247
506,hd,edge,id,hist,id,miura,1,0.247
507,miura,fing,h + f,id,id,id,1,0.249
508,skel,fing,id,hist,skel,CoM,2,0.249
509,hd,fing,id,id,id,miura,2,0.249
510,skel,edge,id,hist,skel,id,1,0.249
511,miura,fing,id,hist,skel,CoM,1,0.25
512,hd,fing,huang,hist,skel,CoM,1,0.25
513,hd,fing,huang,hist,skel,CoM,2,0.25
514,hd,fing,h + f,hist,id,miura,2,0.25
515,hd,fing,h + f,hist,skel,CoM,1,0.25
516,hd,fing,huang,hist,id,miura,2,0.251
517,hd,fing,huang,id,skel,id,1,0.251
518,miura,fing,trans,id,skel,id,1,0.251
519,hd,fing,trans,id,id,miura,2,0.251
520,miura,edge,id,hist,id,id,1,0.253
521,rsd,edge,trans,id,id,CoM,2,0.253
522,skel,fing,h + f,hist,skel,CoM,2,0.253
523,miura,fing,huang,hist,skel,CoM,1,0.253
524,hd,edge,id,hist,skel,id,1,0.254
525,miura,fing,h + f,hist,skel,CoM,1,0.254
526,skel,fing,huang,hist,skel,CoM,2,0.254
527,skel,fing,trans,hist,skel,CoM,2,0.254
528,hd,fing,id,id,id,miura,1,0.255
529,hd,edge,h + f,id,skel,CoM,2,0.255
530,rsd,edge,id,id,skel,id,2,0.255
531,miura,fing,trans,hist,skel,CoM,2,0.255
532,hd,fing,trans,hist,skel,CoM,1,0.255
533,hd,edge,huang,id,skel,CoM,2,0.255
534,rsd,fing,id,id,skel,CoM,1,0.255
535,miura,fing,id,id,skel,CoM,2,0.256
536,skel,fing,huang,hist,skel,id,1,0.256
537,hd,fing,h + f,hist,skel,CoM,2,0.256
538,hd,fing,id,hist,id,miura,1,0.258
539,skel,fing,id,id,skel,CoM,2,0.258
540,hd,fing,id,hist,skel,CoM,1,0.258
541,rsd,fing,trans,id,skel,CoM,2,0.258
542,rsd,fing,h + f,id,id,id,2,0.258
543,skel,fing,id,hist,id,id,1,0.259
